device_aid,cafe_cluster,ping_cluster,restaurant_cluster,cafe_richness_score,ping_richness_score,restaurant_richness_score,OverallRichnessScore
01870706-3ebd-4b47-bcb4-3251cf81fcd0,3,1,2,24.833384017079982,281.3999559238771,12.502815227111812,61.42919493989542
018cb0cc-2a43-4d77-835e-cc69e24d4b12,5,1,0,19.839439396523534,281.3999559238771,15.44537012874073,61.23582418385772
0193f631-d113-4334-a71d-9ca933817c92,3,1,1,24.833384017079982,281.3999559238771,11.971680791222932,61.16362772195098
0195fc54-d0e0-4828-a626-a79a26dc3bb1,9,1,1,17.77219711428424,281.3999559238771,11.971680791222932,58.80989875435239
019e2478-4014-4112-98b7-0d83bdb3d460,1,2,2,18.15067414434237,15.53125,12.502815227111812,14.890173995003364
01ba7cf3-0165-66c4-1b44-2387071c2c09,6,2,4,17.463155070668606,15.53125,15.247667882027104,16.03342729790309
01baced7-b704-4ba6-b051-6b1b387bda0d,2,2,0,18.280502475988474,15.53125,15.44537012874073,16.404727556366524
01bc1e6f-597b-6f32-2025-bc888945dae6,3,1,0,24.833384017079982,281.3999559238771,15.44537012874073,62.90047239070987
01bf4639-b88b-4478-a369-d1e1f471de0a,3,2,3,24.833384017079982,15.53125,16.279023829441762,19.00584825374754
01bf5eb8-e2b9-4845-9857-2ad6f1b88eb8,8,2,6,19.728995826409644,15.53125,15.52557479783676,16.927661007721596
01c205a7-e301-47ee-a629-6c687eceea52,8,2,6,19.728995826409644,15.53125,15.52557479783676,16.927661007721596
01ca265c-a819-4ff4-a8a8-f7f2284e232e,1,1,3,18.15067414434237,281.3999559238771,16.279023829441762,61.089729283481184
01d06d51-75ac-4e63-94a8-2e1f845b0e5c,2,0,3,18.280502475988474,32.50396825396825,16.279023829441762,19.65034078237841
01d11a98-3448-4ac7-96e3-5f5314432c46,6,1,0,17.463155070668606,281.3999559238771,15.44537012874073,60.44372940857275
01e33b55-258a-47bb-a7a8-960a929e5dbf,4,1,2,20.61108585914832,281.3999559238771,12.502815227111812,60.02176222058486
01f3bff4-bf09-4ea2-8e56-58c9a80e5797,6,2,1,17.463155070668606,15.53125,11.971680791222932,14.395433752501
01f44e06-18c0-4fb5-8800-fd5d04a87429,1,1,2,18.15067414434237,281.3999559238771,12.502815227111812,59.20162498231621
